pond family id treatment sex sl region size
7 1 4 P F 55.1 optic_size 159.180160168016
7 1 5 P F 56.6 optic_size 145.585336176592
7 1 7 P F 49.5 optic_size 131.237450450279
7 1 8 P F 47.2 optic_size 153.920880646826
7 1 9 P F 49.52 optic_size 145.035691150905
7 2 1 P F 64.1 optic_size 155.616662720646
7 2 10 P M 58.32 optic_size 140.36122454971
7 2 2 P M 60.97 optic_size 166.655440435513
7 2 7 P F 57.62 optic_size 109.936475705969
7 2 8 P F 55.04 optic_size 130.189478485605
7 2 9 P F 58.44 optic_size 134.214417951208
7 3 3 P F 61.48 optic_size 126.342973465781
8 1 1 NP F 71.4 optic_size 214.36226045
8 1 11 NP F 65.8 optic_size 147.422782365904
8 1 12 NP F 64.78 optic_size 199.253332135824
8 1 13 NP M 59 optic_size 154.24431277834
8 1 14 NP M 55.92 optic_size 185.084460830857
8 1 16 NP F 54.58 optic_size 157.452374769336
8 1 2 NP F 60.69 optic_size 228.090428954138
8 1 3 NP M 60.1 optic_size 169.173712892183
8 1 4 NP M 49.16 optic_size 133.449702253705
8 1 5 NP F 51.25 optic_size 135.119014304233
8 1 7 NP F 59.26 optic_size 144.63736717437
8 1 8 NP M 61.61 optic_size 204.768051938619
8 1 9 NP F 67.75 optic_size 197.667741337332
8 2 1 NP F 54.76 optic_size 124.905020812403
8 2 10 NP M 56.9 optic_size 143.376371036753
8 2 11 NP M 58.85 optic_size 144.526048795939
8 2 2 NP F 65.91 optic_size 137.540783641152
8 2 3 NP F 55.23 optic_size 158.148278241046
8 2 4 NP F 60.52 optic_size 172.214551855244
8 2 5 NP M 54.62 optic_size 152.221963602622
8 2 6 NP M 56 optic_size 217.763091565687
8 2 8 NP M 56.16 optic_size 145.266264848907
8 2 9 NP F 57.81 optic_size 154.132055874278
9 1 1 NP F 51.2 optic_size 135.229856782668
9 1 10 NP M 50.61 optic_size 161.397381668418
9 1 11 NP F 55.6 optic_size 178.532392227029
9 1 12 NP F 53.4 optic_size 156.987111818012
9 1 13 NP M 49.54 optic_size 133.406156665056
9 1 15 NP F 64.86 optic_size 173.07283151472
9 1 16 NP M 49.8 optic_size 122.217724904013
9 1 3 NP M 56.38 optic_size 117.921846910519
9 1 4 NP F 62.56 optic_size 141.84918889963
9 1 6 NP F 54.85 optic_size 166.215109549638
9 1 7 NP M 56.7 optic_size 181.811312299395
9 1 8 NP F 53.54 optic_size 182.702991866575
9 1 9 NP M 50.63 optic_size 149.705979682308
9 2 10 NP M 58.86 optic_size 170.082116877842
